id,first_name,middle_name,nick_name,last_name,birth_date,birth_town_city,birth_state,birth_country,death_date,resting_place,rank_attained,service_branch,nationality,first_time_in_space_date,total_duration_space_secs,retirement_date,image_photo,image_signature,wikipedia_bio_website
56b4d467-12bb-4136-aa1b-dcaf1c59a469,Yuri,Alekseyevich,,Gagarin,1934-03-09,Klushino,Russian SFSR,Soviet Union,1968-03-27,Kremlin Wall Necropolis,Colonel,Soviet Air Force,Russian (Soviet),1961-04-12,1:48:00,,astronaut/photos/Yuri_Gagarin_1961.jpg,astronaut/signatures/Yuri_Gagarin_sig.png,https://en.wikipedia.org/wiki/Yuri_Gagarin
301b28a8-33d3-47ba-b404-4f39d7721cb2,Alan,Bartlett,"""Al""",Shepard,1923-11-18,Derry,New Hampshire,U.S.,1998-07-21,,Rear Admiral,United States Navy,American,1961-05-05,"9 days, 0:23:00",1974-08-01,astronaut/photos/1920px-Alan_shepard.jpg,,https://en.wikipedia.org/wiki/Alan_Shepard
de3a03eb-b1f4-4cf3-9bae-b86bc1438ae3,Virgil,Ivan,"""Gus""",Grissom,1926-04-03,Mitchell,Indiana,U.S.,1967-01-27,Arlington National Cemetery,Lieutenant Colonel,United States Air Force,American,1961-07-21,5:07:00,,,,https://en.wikipedia.org/wiki/Gus_Grissom
0dfa16eb-c7e9-42f2-8416-1e70ef0c1edc,Gherman,Stepanovich,,Titov,1935-09-11,Verkhneye Zhilino,"West Siberian Krai, Russian SFS",Soviet Union,2000-11-20,"Novodevichy Cemetery, Moscow",General-Colonel,Soviet Air Force,Russian (Soviet),1961-08-06,"1 day, 1:18:00",,,,https://en.wikipedia.org/wiki/Gherman_Titov
a1c4c133-79d3-41ec-b4f8-48f8bbf76cbe,John,Herschel,,Glenn,1921-07-18,Cambridge,"Ohio,",U.S.,2016-12-08,Arlington National Cemetery,Colonel,United States Marine Corps,American,1962-02-20,"10 days, 0:49:25",1964-01-16,,,https://en.wikipedia.org/wiki/John_Glenn
d86d06c3-f335-47cc-8c96-261e258b71e3,Malcolm,Scott,"""Scott""",Carpenter,1925-05-01,Boulder,Colorado,U.S.,2013-10-10,,Commander,United States Navy,American,1962-05-24,4:46:00,1967-08-10,,,https://en.wikipedia.org/wiki/Scott_Carpenter
e755870d-98aa-4225-a590-291329f51ccc,Andriyan,Grigoryevich,,Nikolayev,1929-09-05,Shorshely,Russian SFSR,Soviet Union,2004-07-03,,Major General,Soviet Air Force,Russian (Soviet),1962-08-11,"10 days, 15:20:00",,,,https://en.wikipedia.org/wiki/Andriyan_Nikolayev
b9311c04-52db-4d40-a5c5-6acccc3a87d2,Pavel,Romanovich,,Popovich,1930-10-05,"Uzyn, Kyiv Oblast",Ukrainian SSR,Soviet Union,2009-09-29,,Major General,Soviet Air Force,Ukrainian (Soviet),1962-08-12,"18 days, 16:27:00",1982-01-26,,,https://en.wikipedia.org/wiki/Pavel_Popovich
5d6db675-f663-4bba-b74a-d9640de9414d,Walter,Marty,"""Wally""",Schirra,1923-03-12,Hackensack,New Jersey,U.S.,2007-05-03,,Captain,United States Navy,American,1962-10-03,"12 days, 7:12:00",1969-07-01,,,https://en.wikipedia.org/wiki/Wally_Schirra
eb98efa3-998e-4df9-867f-f64494121c97,Leroy,Gordon,"""Gordo""",Cooper,1927-03-06,Shawnee,Oklahoma,U.S.,2004-10-04,,Colonel,United States Air Force,American,1963-05-15,"9 days, 6:14:00",1970-07-31,,,https://en.wikipedia.org/wiki/Gordon_Cooper
ad305faa-6251-4383-9949-1b2fb137a974,Valery,Fyodorovich,,Bykovsky,1934-08-02,Pavlovsky Posad,Moscow Oblast,Soviet Union,2019-03-27,,Major General,Soviet Air Force,Russian (Soviet),1963-06-14,"20 days, 17:48:00",,,,https://en.wikipedia.org/wiki/Valery_Bykovsky
481a3c52-6adc-42f9-8c27-b68b336c5b73,Valentina,Vladimirovna,,Tereshkova,1937-03-06,Bolshoye Maslennikovo,Russian SFSR,Soviet Union,,,Major General,Soviet Air Force,Russian (Soviet),1963-06-16,"2 days, 22:50:00",,,,https://en.wikipedia.org/wiki/Valentina_Tereshkova
d75291ee-7464-4658-ac0a-70da31c0354e,Joseph,Albert,,*Walker,1921-02-20,"Washington, Pennsylvania, U.S.",Pennsylvania,U.S.,1966-06-08,,Captain,United States Air Force,American,1963-07-19,0:22:00,1963-08-22,,,https://en.wikipedia.org/wiki/Joseph_A._Walker
